ID	Tweet ID
10001	617215483176222720
10002	617216836908625920
10003	617236542826778624
10004	617266381604655105
10005	617270731265540096
10006	617271316442320896
10007	617290697926946816
10008	617317471951806464
10009	617322305568571392
10010	617332500205953024
10011	617335594318962688
10012	617348549156696064
10013	617356458926166016
10014	617371116630245376
10015	617393382118129665
10016	617400982989705216
10017	617437746097827840
10018	617437846811492352
10019	617458255086907392
10020	617466717703417856
10021	617478281856552960
10022	617512927239782400
10023	617533844795731968
10024	617542549167697921
10025	617545611395510272
10026	617552136205799425
10027	617554322507857920
10028	617585955667595264
10029	617612697241321472
10030	617633294302076928
10031	617644031187660800
10032	617651010350260224
10033	617651512517373952
10034	617663693430628353
10035	617696278420434945
10036	617697639069544448
10037	617699852521074688
10038	617706647587262464
10039	617710427330453504
10040	617712123783700481
10041	617717680095637505
10042	617718965947768833
10043	617731866796400640
10044	617747283489259521
10045	617754891360993280
10046	617755411932934144
10047	617779158337216512
10048	617797301558509569
10049	617798461010898944
10050	617799663173959680
10051	617807203697717250
10052	617807266763313152
10053	617807500000137216
10054	617807615771324416
10055	617809068384776192
10056	617814297163497474
10057	617814657869328384
10058	617819774756720640
10059	617820801429958656
10060	617827043888267268
10061	617829998255210497
10062	617835885782937601
10063	617871756276035585
10064	617872557870444544
10065	617881929702969344
10066	617882559272361984
10067	617884072027619328
10068	617886538777493504
10069	617894864043311104
10070	617902357192552448
10071	617940571773120512
10072	617970286202331136
10073	617993207826132992
10074	618004474649530368
10075	618013274911551488
10076	618031334729064448
10077	618031923613536256
10078	618034271039684608
10079	618062522743132160
10080	618071882760384512
10081	618079747394899968
10082	618086026146242560
10083	618113427098079232
10084	618120283132723201
10085	618121061901533184
10086	618141387087810560
10087	618147366508601347
10088	618157585846263808
10089	618170102798766081
10090	618193994745577472
10091	618218402683990017
10092	618234487168729088
10093	618245271810498561
10094	618245824011603968
10095	618248548698619904
10096	618250071814094848
10097	618250996720996352
10098	618259581886558208
10099	618261014031765504
10100	618271636932853760
10101	618273991522848768
10102	618300923186515968
10103	618302585624227840
10104	618332038014345216
10105	618369502850318336
10106	618372648087588864
10107	618383412617998337
10108	618394054880022528
10109	618398341790085121
10110	618404490547433472
10111	618405060645646336
10112	618406434707894272
10113	618412141029236737
10114	618418168558546944
10115	618425286695256064
10116	618429434434072576
10117	618442490698280960
10118	618444239957917696
10119	618448390863454208
10120	618458032616435712
10121	618460851436064768
10122	618484359847354369
10123	618496269535870976
10124	618503700307386368
10125	618507338362789888
10126	618510567276441600
10127	618543702882021376
10128	618555063972306945
10129	618567777876467712
10130	618573886469177345
10131	618599205364494336
10132	618599574941401088
10133	618605156435779584
10134	618610180226449409
10135	618630249538924544
10136	618658963513438208
10137	618660519214366720
10138	618682313296187392
10139	618692034078068736
10140	618697316644466688
10141	618771575957917697
